Bundesland,Kreis,Liga,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16
NRW,Herford,Kreisliga A Herford 1,Holsen II,Löhne,Oetinghausen,Exter,Herford,Hunnebrock,Bardüttingdorf,Dünne,Bischofshagen,Schweicheln,Herringhausen,Bünder,Enger,Kirchlengern II,Hiddenhausen,Holsen III
NRW,Steinfurt,Kreisliga A Steinfurt 2,Borghorst,Greven,Reckenfeld,Emsdetten II,Burgsteinfurt,Altenberge,Horstmar,Leer,Metelen,Ochtrup II,Laer,Neuenkirchen II,Rheine II,Saerbeck,Mesum II,Borghorst III
NRW,Lübbecke,Kreisliga A Lübbecke 3,Tengern II,Lübbecke,Blasheim,Gehlenbeck,Espelkamp II,Frotheim,Isenstedt,Levern,Hüllhorst,Oberbauerschaft,Pr. Oldendorf,Stemwede,Wehdem,Holzhausen,Rahden,Tengern III
NRW,Bielefeld,Kreisliga A Bielefeld 1,Brackwede,Heepen,Jöllenbeck,Senne,Stieghorst,Quelle,Dornberg,Gadderbaum,Ubbedissen,Schildesche,Theesen,Brake,Vilsendorf,Oldentrup,Milse,Brackwede III
NRW,Paderborn,Kreisliga A Paderborn 2,Elsen,Schloß Neuhaus,Sennelager,Wewer,Marienloh,Benhausen,Neuenbeken,Dahl,Etteln,Henglarn,Borchen,Alfen,Nordborchen,Kirchborchen,Herbram,Elsen III
NRW,Herford,Kreisliga A Herford 3,Holsen II,Löhne,Oetinghausen,Exter,Herford,Hunnebrock,Bardüttingdorf,Dünne,Bischofshagen,Schweicheln,Herringhausen,Bünder,Enger,Kirchlengern II,Hiddenhausen,Holsen III
NRW,Steinfurt,Kreisliga A Steinfurt 1,Borghorst,Greven,Reckenfeld,Emsdetten II,Burgsteinfurt,Altenberge,Horstmar,Leer,Metelen,Ochtrup II,Laer,Neuenkirchen II,Rheine II,Saerbeck,Mesum II,Borghorst III
NRW,Lübbecke,Kreisliga A Lübbecke 2,Tengern II,Lübbecke,Blasheim,Gehlenbeck,Espelkamp II,Frotheim,Isenstedt,Levern,Hüllhorst,Oberbauerschaft,Pr. Oldendorf,Stemwede,Wehdem,Holzhausen,Rahden,Tengern III
NRW,Bielefeld,Kreisliga A Bielefeld 3,Brackwede,Heepen,Jöllenbeck,Senne,Stieghorst,Quelle,Dornberg,Gadderbaum,Ubbedissen,Schildesche,Theesen,Brake,Vilsendorf,Oldentrup,Milse,Brackwede III
NRW,Paderborn,Kreisliga A Paderborn 1,Elsen,Schloß Neuhaus,Sennelager,Wewer,Marienloh,Benhausen,Neuenbeken,Dahl,Etteln,Henglarn,Borchen,Alfen,Nordborchen,Kirchborchen,Herbram,Elsen III
NRW,Herford,Kreisliga A Herford 2,Holsen II,Löhne,Oetinghausen,Exter,Herford,Hunnebrock,Bardüttingdorf,Dünne,Bischofshagen,Schweicheln,Herringhausen,Bünder,Enger,Kirchlengern II,Hiddenhausen,Holsen III
NRW,Steinfurt,Kreisliga A Steinfurt 3,Borghorst,Greven,Reckenfeld,Emsdetten II,Burgsteinfurt,Altenberge,Horstmar,Leer,Metelen,Ochtrup II,Laer,Neuenkirchen II,Rheine II,Saerbeck,Mesum II,Borghorst III
NRW,Lübbecke,Kreisliga A Lübbecke 1,Tengern II,Lübbecke,Blasheim,Gehlenbeck,Espelkamp II,Frotheim,Isenstedt,Levern,Hüllhorst,Oberbauerschaft,Pr. Oldendorf,Stemwede,Wehdem,Holzhausen,Rahden,Tengern III
NRW,Bielefeld,Kreisliga A Bielefeld 2,Brackwede,Heepen,Jöllenbeck,Senne,Stieghorst,Quelle,Dornberg,Gadderbaum,Ubbedissen,Schildesche,Theesen,Brake,Vilsendorf,Oldentrup,Milse,Brackwede III
NRW,Paderborn,Kreisliga A Paderborn 3,Elsen,Schloß Neuhaus,Sennelager,Wewer,Marienloh,Benhausen,Neuenbeken,Dahl,Etteln,Henglarn,Borchen,Alfen,Nordborchen,Kirchborchen,Herbram,Elsen III
