Vorname,Nachname,Position,Tempo,Schuss,Pass,Zweikampf,Reflexe,Stellungsspiel,Stärke,Team_ID,Herkunft
Anders,Andersen,Verteidiger,62,63,68,79,68,94,72,,BENELUX
Anders,Andersen,Verteidiger,56,59,61,93,67,74,68,,SCANDI
Anders,Andersen,Mittelfeld,70,76,77,74,59,77,72,,ES
Anders,Andersen,Stürmer,90,71,75,59,55,92,74,,DE
Anders,Andersen,Verteidiger,57,62,79,76,64,91,72,,DE
Anders,Andersen,Mittelfeld,84,79,85,62,70,86,78,,DE
Emil,Andersen,Verteidiger,58,59,56,97,68,95,72,,DE
Emil,Andersen,Stürmer,93,79,62,77,55,79,74,,DE
Emil,Andersen,Mittelfeld,90,72,79,83,66,79,78,,DE
Emil,Andersen,Stürmer,71,76,75,70,63,91,74,,DE
Emil,Andersen,Stürmer,80,74,62,71,66,86,73,,DE
Erik,Andersen,Mittelfeld,85,80,96,65,68,65,76,,DE
Erik,Andersen,Verteidiger,55,70,66,89,56,82,70,,DE
Erik,Andersen,Mittelfeld,78,84,94,78,60,89,80,,TR_AR
Erik,Andersen,Stürmer,74,72,60,62,65,74,68,,RUS_EU
Erik,Andersen,Mittelfeld,78,62,81,62,60,67,68,,DE
Erik,Andersen,Torwart,56,65,58,62,96,71,68,,DE
Erik,Andersen,Mittelfeld,87,74,99,61,60,89,78,,RUS_EU
Henrik,Andersen,Mittelfeld,78,82,89,84,65,79,80,,IT
Henrik,Andersen,Verteidiger,56,56,62,79,50,90,66,,SCANDI
Henrik,Andersen,Stürmer,98,81,64,75,69,72,76,,DE
Henrik,Andersen,Verteidiger,71,52,67,84,63,79,69,,ES
Henrik,Andersen,Verteidiger,72,68,68,88,67,80,74,,DE
Jonas,Andersen,Mittelfeld,65,85,71,83,63,90,76,,TR_AR
Jonas,Andersen,Mittelfeld,86,79,98,72,55,82,79,,GR
Jonas,Andersen,Verteidiger,56,62,73,80,55,89,69,,BENELUX
Lars,Andersen,Mittelfeld,90,65,85,72,61,85,76,,TR_AR
Lars,Andersen,Stürmer,94,99,72,62,57,88,79,,BENELUX
Mikkel,Andersen,Stürmer,82,98,77,57,58,88,77,,RUS_EU
Nils,Andersen,Verteidiger,77,66,59,87,56,70,69,,DE
Nils,Andersen,Mittelfeld,68,67,87,81,67,84,76,,BENELUX
Nils,Andersen,Mittelfeld,62,73,74,79,70,88,74,,BENELUX
Nils,Andersen,Mittelfeld,86,82,92,84,69,70,80,,DE
