Bundesland,Kreis,Liga,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16
NRW,Herford,Kreisliga A Herford,Herford 1,Herford 2,Herford 3,Herford_4,Herford_5,Herford_6,Herford_7,Herford_8,Herford_9,Herford_10,Herford_11,Herford_12,Herford_13,Herford_14,Herford_15,Herford_16
NRW,Lübbecke,Kreisliga A Lübbecke,Lübbecke 1,Lübbecke 2,Lübbecke 3,Lübbecke_4,Lübbecke_5,Lübbecke_6,Lübbecke_7,Lübbecke_8,Lübbecke_9,Lübbecke_10,Lübbecke_11,Lübbecke_12,Lübbecke_13,Lübbecke_14,Lübbecke_15,Lübbecke_16
NRW,Lübbecke,Kreisliga A Lübbecke 2,Lübbecke 1,Lübbecke 2,Lübbecke 3,Lübbecke_4,Lübbecke_5,Lübbecke_6,Lübbecke_7,Lübbecke_8,Lübbecke_9,Lübbecke_10,Lübbecke_11,Lübbecke_12,Lübbecke_13,Lübbecke_14,Lübbecke_15,Lübbecke_16
NRW,Minden,Kreisliga A Minden,Minden 1,Minden 2,Minden 3,Minden_4,Minden_5,Minden_6,Minden_7,Minden_8,Minden_9,Minden_10,Minden_11,Minden_12,Minden_13,Minden_14,Minden_15,Minden_16
NRW,Bielefeld,Kreisliga A Bielefeld,Bielefeld 1,Bielefeld 2,Bielefeld 3,Bielefeld_4,Bielefeld_5,Bielefeld_6,Bielefeld_7,Bielefeld_8,Bielefeld_9,Bielefeld_10,Bielefeld_11,Bielefeld_12,Bielefeld_13,Bielefeld_14,Bielefeld_15,Bielefeld_16
NRW,Bielefeld,Kreisliga A Bielefeld 2,Bielefeld 1,Bielefeld 2,Bielefeld 3,Bielefeld_4,Bielefeld_5,Bielefeld_6,Bielefeld_7,Bielefeld_8,Bielefeld_9,Bielefeld_10,Bielefeld_11,Bielefeld_12,Bielefeld_13,Bielefeld_14,Bielefeld_15,Bielefeld_16
NRW,Gütersloh,Kreisliga A Gütersloh,Gütersloh 1,Gütersloh 2,Gütersloh 3,Gütersloh_4,Gütersloh_5,Gütersloh_6,Gütersloh_7,Gütersloh_8,Gütersloh_9,Gütersloh_10,Gütersloh_11,Gütersloh_12,Gütersloh_13,Gütersloh_14,Gütersloh_15,Gütersloh_16
NRW,Paderborn,Kreisliga A Paderborn,Paderborn 1,Paderborn 2,Paderborn 3,Paderborn_4,Paderborn_5,Paderborn_6,Paderborn_7,Paderborn_8,Paderborn_9,Paderborn_10,Paderborn_11,Paderborn_12,Paderborn_13,Paderborn_14,Paderborn_15,Paderborn_16
NRW,Höxter,Kreisliga A Höxter,Höxter 1,Höxter 2,Höxter 3,Höxter_4,Höxter_5,Höxter_6,Höxter_7,Höxter_8,Höxter_9,Höxter_10,Höxter_11,Höxter_12,Höxter_13,Höxter_14,Höxter_15,Höxter_16
NRW,Lippe,Kreisliga A Lippe,Lippe 1,Lippe 2,Lippe 3,Lippe_4,Lippe_5,Lippe_6,Lippe_7,Lippe_8,Lippe_9,Lippe_10,Lippe_11,Lippe_12,Lippe_13,Lippe_14,Lippe_15,Lippe_16
NRW,Detmold,Kreisliga A Detmold,Detmold 1,Detmold 2,Detmold 3,Detmold_4,Detmold_5,Detmold_6,Detmold_7,Detmold_8,Detmold_9,Detmold_10,Detmold_11,Detmold_12,Detmold_13,Detmold_14,Detmold_15,Detmold_16
NRW,Steinfurt,Kreisliga A Steinfurt,Steinfurt 1,Steinfurt 2,Steinfurt 3,Steinfurt_4,Steinfurt_5,Steinfurt_6,Steinfurt_7,Steinfurt_8,Steinfurt_9,Steinfurt_10,Steinfurt_11,Steinfurt_12,Steinfurt_13,Steinfurt_14,Steinfurt_15,Steinfurt_16
NRW,Steinfurt,Kreisliga A Steinfurt 2,Steinfurt 1,Steinfurt 2,Steinfurt 3,Steinfurt_4,Steinfurt_5,Steinfurt_6,Steinfurt_7,Steinfurt_8,Steinfurt_9,Steinfurt_10,Steinfurt_11,Steinfurt_12,Steinfurt_13,Steinfurt_14,Steinfurt_15,Steinfurt_16
NRW,Münster,Kreisliga A Münster,Münster 1,Münster 2,Münster 3,Münster_4,Münster_5,Münster_6,Münster_7,Münster_8,Münster_9,Münster_10,Münster_11,Münster_12,Münster_13,Münster_14,Münster_15,Münster_16
NRW,Warendorf,Kreisliga A Warendorf,Warendorf 1,Warendorf 2,Warendorf 3,Warendorf_4,Warendorf_5,Warendorf_6,Warendorf_7,Warendorf_8,Warendorf_9,Warendorf_10,Warendorf_11,Warendorf_12,Warendorf_13,Warendorf_14,Warendorf_15,Warendorf_16
NRW,Coesfeld,Kreisliga A Coesfeld,Coesfeld 1,Coesfeld 2,Coesfeld 3,Coesfeld_4,Coesfeld_5,Coesfeld_6,Coesfeld_7,Coesfeld_8,Coesfeld_9,Coesfeld_10,Coesfeld_11,Coesfeld_12,Coesfeld_13,Coesfeld_14,Coesfeld_15,Coesfeld_16
NRW,Coesfeld,Kreisliga A Coesfeld 2,Coesfeld 1,Coesfeld 2,Coesfeld 3,Coesfeld_4,Coesfeld_5,Coesfeld_6,Coesfeld_7,Coesfeld_8,Coesfeld_9,Coesfeld_10,Coesfeld_11,Coesfeld_12,Coesfeld_13,Coesfeld_14,Coesfeld_15,Coesfeld_16
NRW,Recklinghausen,Kreisliga A Recklinghausen,Recklinghausen 1,Recklinghausen 2,Recklinghausen 3,Recklinghausen_4,Recklinghausen_5,Recklinghausen_6,Recklinghausen_7,Recklinghausen_8,Recklinghausen_9,Recklinghausen_10,Recklinghausen_11,Recklinghausen_12,Recklinghausen_13,Recklinghausen_14,Recklinghausen_15,Recklinghausen_16
NRW,Recklinghausen,Kreisliga A Recklinghausen 2,Recklinghausen 1,Recklinghausen 2,Recklinghausen 3,Recklinghausen_4,Recklinghausen_5,Recklinghausen_6,Recklinghausen_7,Recklinghausen_8,Recklinghausen_9,Recklinghausen_10,Recklinghausen_11,Recklinghausen_12,Recklinghausen_13,Recklinghausen_14,Recklinghausen_15,Recklinghausen_16
NRW,Gelsenkirchen,Kreisliga A Gelsenkirchen,Gelsenkirchen 1,Gelsenkirchen 2,Gelsenkirchen 3,Gelsenkirchen_4,Gelsenkirchen_5,Gelsenkirchen_6,Gelsenkirchen_7,Gelsenkirchen_8,Gelsenkirchen_9,Gelsenkirchen_10,Gelsenkirchen_11,Gelsenkirchen_12,Gelsenkirchen_13,Gelsenkirchen_14,Gelsenkirchen_15,Gelsenkirchen_16
NRW,Gelsenkirchen,Kreisliga A Gelsenkirchen 2,Gelsenkirchen 1,Gelsenkirchen 2,Gelsenkirchen 3,Gelsenkirchen_4,Gelsenkirchen_5,Gelsenkirchen_6,Gelsenkirchen_7,Gelsenkirchen_8,Gelsenkirchen_9,Gelsenkirchen_10,Gelsenkirchen_11,Gelsenkirchen_12,Gelsenkirchen_13,Gelsenkirchen_14,Gelsenkirchen_15,Gelsenkirchen_16
NRW,Essen,Kreisliga A Essen,Essen 1,Essen 2,Essen 3,Essen_4,Essen_5,Essen_6,Essen_7,Essen_8,Essen_9,Essen_10,Essen_11,Essen_12,Essen_13,Essen_14,Essen_15,Essen_16
NRW,Dortmund,Kreisliga A Dortmund,Dortmund 1,Dortmund 2,Dortmund 3,Dortmund_4,Dortmund_5,Dortmund_6,Dortmund_7,Dortmund_8,Dortmund_9,Dortmund_10,Dortmund_11,Dortmund_12,Dortmund_13,Dortmund_14,Dortmund_15,Dortmund_16
NRW,Bochum,Kreisliga A Bochum,Bochum 1,Bochum 2,Bochum 3,Bochum_4,Bochum_5,Bochum_6,Bochum_7,Bochum_8,Bochum_9,Bochum_10,Bochum_11,Bochum_12,Bochum_13,Bochum_14,Bochum_15,Bochum_16
NRW,Hagen,Kreisliga A Hagen,Hagen 1,Hagen 2,Hagen 3,Hagen_4,Hagen_5,Hagen_6,Hagen_7,Hagen_8,Hagen_9,Hagen_10,Hagen_11,Hagen_12,Hagen_13,Hagen_14,Hagen_15,Hagen_16
NRW,Ennepe-Ruhr,Kreisliga A Ennepe-Ruhr,Ennepe-Ruhr 1,Ennepe-Ruhr 2,Ennepe-Ruhr 3,Ennepe-Ruhr_4,Ennepe-Ruhr_5,Ennepe-Ruhr_6,Ennepe-Ruhr_7,Ennepe-Ruhr_8,Ennepe-Ruhr_9,Ennepe-Ruhr_10,Ennepe-Ruhr_11,Ennepe-Ruhr_12,Ennepe-Ruhr_13,Ennepe-Ruhr_14,Ennepe-Ruhr_15,Ennepe-Ruhr_16
NRW,Ennepe-Ruhr,Kreisliga A Ennepe-Ruhr 2,Ennepe-Ruhr 1,Ennepe-Ruhr 2,Ennepe-Ruhr 3,Ennepe-Ruhr_4,Ennepe-Ruhr_5,Ennepe-Ruhr_6,Ennepe-Ruhr_7,Ennepe-Ruhr_8,Ennepe-Ruhr_9,Ennepe-Ruhr_10,Ennepe-Ruhr_11,Ennepe-Ruhr_12,Ennepe-Ruhr_13,Ennepe-Ruhr_14,Ennepe-Ruhr_15,Ennepe-Ruhr_16
NRW,Märkischer Kreis,Kreisliga A Märkischer Kreis,Märkischer Kreis 1,Märkischer Kreis 2,Märkischer Kreis 3,Märkischer Kreis_4,Märkischer Kreis_5,Märkischer Kreis_6,Märkischer Kreis_7,Märkischer Kreis_8,Märkischer Kreis_9,Märkischer Kreis_10,Märkischer Kreis_11,Märkischer Kreis_12,Märkischer Kreis_13,Märkischer Kreis_14,Märkischer Kreis_15,Märkischer Kreis_16
NRW,Märkischer Kreis,Kreisliga A Märkischer Kreis 2,Märkischer Kreis 1,Märkischer Kreis 2,Märkischer Kreis 3,Märkischer Kreis_4,Märkischer Kreis_5,Märkischer Kreis_6,Märkischer Kreis_7,Märkischer Kreis_8,Märkischer Kreis_9,Märkischer Kreis_10,Märkischer Kreis_11,Märkischer Kreis_12,Märkischer Kreis_13,Märkischer Kreis_14,Märkischer Kreis_15,Märkischer Kreis_16
NRW,Siegen,Kreisliga A Siegen,Siegen 1,Siegen 2,Siegen 3,Siegen_4,Siegen_5,Siegen_6,Siegen_7,Siegen_8,Siegen_9,Siegen_10,Siegen_11,Siegen_12,Siegen_13,Siegen_14,Siegen_15,Siegen_16
NRW,Olpe,Kreisliga A Olpe,Olpe 1,Olpe 2,Olpe 3,Olpe_4,Olpe_5,Olpe_6,Olpe_7,Olpe_8,Olpe_9,Olpe_10,Olpe_11,Olpe_12,Olpe_13,Olpe_14,Olpe_15,Olpe_16
NRW,Olpe,Kreisliga A Olpe 2,Olpe 1,Olpe 2,Olpe 3,Olpe_4,Olpe_5,Olpe_6,Olpe_7,Olpe_8,Olpe_9,Olpe_10,Olpe_11,Olpe_12,Olpe_13,Olpe_14,Olpe_15,Olpe_16
NRW,Soest,Kreisliga A Soest,Soest 1,Soest 2,Soest 3,Soest_4,Soest_5,Soest_6,Soest_7,Soest_8,Soest_9,Soest_10,Soest_11,Soest_12,Soest_13,Soest_14,Soest_15,Soest_16
NRW,Soest,Kreisliga A Soest 2,Soest 1,Soest 2,Soest 3,Soest_4,Soest_5,Soest_6,Soest_7,Soest_8,Soest_9,Soest_10,Soest_11,Soest_12,Soest_13,Soest_14,Soest_15,Soest_16
NRW,Hochsauerland,Kreisliga A Hochsauerland,Hochsauerland 1,Hochsauerland 2,Hochsauerland 3,Hochsauerland_4,Hochsauerland_5,Hochsauerland_6,Hochsauerland_7,Hochsauerland_8,Hochsauerland_9,Hochsauerland_10,Hochsauerland_11,Hochsauerland_12,Hochsauerland_13,Hochsauerland_14,Hochsauerland_15,Hochsauerland_16
NRW,Unna,Kreisliga A Unna,Unna 1,Unna 2,Unna 3,Unna_4,Unna_5,Unna_6,Unna_7,Unna_8,Unna_9,Unna_10,Unna_11,Unna_12,Unna_13,Unna_14,Unna_15,Unna_16
NRW,Kleve,Kreisliga A Kleve,Kleve 1,Kleve 2,Kleve 3,Kleve_4,Kleve_5,Kleve_6,Kleve_7,Kleve_8,Kleve_9,Kleve_10,Kleve_11,Kleve_12,Kleve_13,Kleve_14,Kleve_15,Kleve_16
NRW,Wesel,Kreisliga A Wesel,Wesel 1,Wesel 2,Wesel 3,Wesel_4,Wesel_5,Wesel_6,Wesel_7,Wesel_8,Wesel_9,Wesel_10,Wesel_11,Wesel_12,Wesel_13,Wesel_14,Wesel_15,Wesel_16
NRW,Duisburg,Kreisliga A Duisburg,Duisburg 1,Duisburg 2,Duisburg 3,Duisburg_4,Duisburg_5,Duisburg_6,Duisburg_7,Duisburg_8,Duisburg_9,Duisburg_10,Duisburg_11,Duisburg_12,Duisburg_13,Duisburg_14,Duisburg_15,Duisburg_16
NRW,Oberhausen,Kreisliga A Oberhausen,Oberhausen 1,Oberhausen 2,Oberhausen 3,Oberhausen_4,Oberhausen_5,Oberhausen_6,Oberhausen_7,Oberhausen_8,Oberhausen_9,Oberhausen_10,Oberhausen_11,Oberhausen_12,Oberhausen_13,Oberhausen_14,Oberhausen_15,Oberhausen_16
NRW,Mülheim,Kreisliga A Mülheim,Mülheim 1,Mülheim 2,Mülheim 3,Mülheim_4,Mülheim_5,Mülheim_6,Mülheim_7,Mülheim_8,Mülheim_9,Mülheim_10,Mülheim_11,Mülheim_12,Mülheim_13,Mülheim_14,Mülheim_15,Mülheim_16
NRW,Düsseldorf,Kreisliga A Düsseldorf,Düsseldorf 1,Düsseldorf 2,Düsseldorf 3,Düsseldorf_4,Düsseldorf_5,Düsseldorf_6,Düsseldorf_7,Düsseldorf_8,Düsseldorf_9,Düsseldorf_10,Düsseldorf_11,Düsseldorf_12,Düsseldorf_13,Düsseldorf_14,Düsseldorf_15,Düsseldorf_16
NRW,Neuss,Kreisliga A Neuss,Neuss 1,Neuss 2,Neuss 3,Neuss_4,Neuss_5,Neuss_6,Neuss_7,Neuss_8,Neuss_9,Neuss_10,Neuss_11,Neuss_12,Neuss_13,Neuss_14,Neuss_15,Neuss_16
NRW,Mettmann,Kreisliga A Mettmann,Mettmann 1,Mettmann 2,Mettmann 3,Mettmann_4,Mettmann_5,Mettmann_6,Mettmann_7,Mettmann_8,Mettmann_9,Mettmann_10,Mettmann_11,Mettmann_12,Mettmann_13,Mettmann_14,Mettmann_15,Mettmann_16
NRW,Wuppertal,Kreisliga A Wuppertal,Wuppertal 1,Wuppertal 2,Wuppertal 3,Wuppertal_4,Wuppertal_5,Wuppertal_6,Wuppertal_7,Wuppertal_8,Wuppertal_9,Wuppertal_10,Wuppertal_11,Wuppertal_12,Wuppertal_13,Wuppertal_14,Wuppertal_15,Wuppertal_16
NRW,Wuppertal,Kreisliga A Wuppertal 2,Wuppertal 1,Wuppertal 2,Wuppertal 3,Wuppertal_4,Wuppertal_5,Wuppertal_6,Wuppertal_7,Wuppertal_8,Wuppertal_9,Wuppertal_10,Wuppertal_11,Wuppertal_12,Wuppertal_13,Wuppertal_14,Wuppertal_15,Wuppertal_16
